;NOM;PRENOM;DEPARTEMENT;DISCIPLINE;CLUB;RESULTATS;PICTO
COQUARD;Brian;44;Cyclisme sur piste;US Pontchatelaine – Pontchâteau;Médaille d’argent;autres.png
LOBERT;Jonathan;44;Voile;SNO Nantes;Médaille de bronze;voile.png
HAUS;David;85;Triathlon;Les Sables Vendée triathlon;4 ème;autres.png
BONTEMPS;Julien;44;Planche à voile;ASPPT Nantes;5 ème;voile.png
POTTIER;Magalie;44;Cyclisme – BMX;BMX Carquefou;7ème;autres.png
GAROS;Vincent;44;Voile;SNO Nantes;7ème;voile.png
LE BOUCHER;Pierre;44;Voile;ASPTT Nantes;7ème;voile.png
PONSOT;Pierre - Alexis;44;Voile;SNO – Carquefou;9 ème;voile.png
NOEL/BARDIS;Mélanie;53;Haltérophilie;CA Evron;10 ème;autres.png
TOUZAINT;Nicolas;49;Equitation;Anjou Jumping;17 ème;equitation.png
MICHEL;Jessica;44;Equitation;Haras du Hus – Petit Mars;31 ème;equitation.png
KHAN;Aurélien;49;Equitation;CE Château Gonthier;45 ème;equitation.png
CAUSEUR;Fabien;49;Basket;Cholet Basket;Quart de finale;basket.png
MEFTAH;Abdellatif;72;Athlétisme;Athlé 72 – Le Mans;91ème;athletisme.png
