;NOM;PRENOM;DEPARTEMENT;DISCIPLINE;CLUB;RESULTATS
COQUARD;Brian;44;Cyclisme sur piste;US Pontchatelaine – Pontchâteau;Médaille d’argent
LOBERT;Jonathan;44;Voile;SNO Nantes;Médaille de bronze
HAUS;David;85;Triathlon;Les Sables Vendée triathlon;4 ème
BONTEMPS;Julien;44;Planche à voile;ASPPT Nantes;5 ème
POTTIER;Magalie;44;Cyclisme – BMX;BMX Carquefou;7ème
GAROS;Vincent;44;Voile;SNO Nantes;7ème
LE BOUCHER;Pierre;44;Voile;ASPTT Nantes;7ème
PONSOT;Pierre - Alexis;44;Voile;SNO – Carquefou;9 ème
NOEL/BARDIS;Mélanie;53;Haltérophilie;CA Evron;10 ème
TOUZAINT;Nicolas;49;Equitation;Anjou Jumping;17 ème
MICHEL;Jessica;44;Equitation;Haras du Hus – Petit Mars;31 ème
KHAN;Aurélien;49;Equitation;CE Château Gonthier;45 ème
CAUSEUR;Fabien;49;Basket;Cholet Basket;Quart de finale
MEFTAH;Abdellatif;72;Athlétisme;Athlé 72 – Le Mans;91ème
